Unique ID,Sex,Age,Year Banded,2022,2023,Site,Cohort,CH
1,M,ASY,2021,1,1,PA1,C,11
2,M,ASY,2022,1,0,PA1,C,10
3,M,ASY,2021,1,0,PA1,T,10
4,F,ASY,2021,1,0,PA1,T,10
5,M,ASY,2021,1,1,PA1,T,11
6,M,ASY,2022,1,0,PA1,T,10
7,M,ASY,2021,1,1,PA1,C,11
8,M,ASY,2022,1,0,PA1,C,10
9,F,ASY,2021,1,0,PA1,T,10
10,M,ASY,2021,1,1,PA1,T,11
11,M,ASY,2022,1,0,PA1,T,10
12,M,SY,2021,1,0,PA1,T,10
13,M,SY,2021,1,1,PA1,T,11
14,M,ASY,2022,1,0,PA1,T,10
15,M,ASY,2021,1,1,PA1,T,11
16,M,ASY,2022,1,0,PA1,T,10
17,M,ASY,2021,1,0,PA1,C,10
18,M,ASY,2021,1,0,PA1,C,10
19,M,SY,2021,1,0,PA1,C,10
20,M,SY,2021,1,0,PA1,C,10
21,M,ASY,2021,1,0,PA,C,10
22,M,ASY,2021,1,0,PA,T,10
23,M,ASY,2021,1,1,PA,T,11
24,M,ASY,2022,1,0,PA,T,10
25,M,ASY,2021,1,0,PA,T,10
26,M,ASY,2021,1,0,PA,T,10
27,M,ASY,2021,1,0,PA,C,10
28,M,ASY,2021,1,0,PA,T,10
29,M,ASY,2021,1,0,PA,T,10
30,M,ASY,2021,1,0,PA,T,10
31,M,ASY,2021,1,0,PA,T,10
32,M,ASY,2021,1,0,PA,T,10
33,M,ASY,2021,1,1,PA,C,11
34,M,ASY,2022,1,0,PA,C,10
35,M,ASY,2021,1,0,PA1,T,10
36,M,AHY,2021,1,0,PA1,T,10
37,M,ASY,2021,1,0,PA1,T,10
38,M,ASY,2021,1,0,PA1,C,10
39,M,SY,2021,1,0,PA1,C,10
40,M,ASY,2021,1,0,PA1,C,10
41,F,SY,2021,1,0,PA,T,10
42,M,ASY,2021,1,1,PA,C,11
43,M,ASY,2022,1,0,PA,C,10
44,F,SY,2021,1,0,PA,T,10
45,M,SY,2021,1,0,PA,C,10
46,M,SY,2021,1,0,PA,C,10
47,F,ASY,2021,1,0,PA,C,10
48,M,SY,2021,1,0,PA,C,10
49,M,ASY,2021,1,1,PA,C,11
50,M,ASY,2022,1,0,PA,C,10
51,F,SY,2021,1,0,PA,T,10
52,F,ASY,2021,1,0,PA,T,10
53,M,ASY,2021,1,0,PA,C,10
54,M,ASY,2021,1,0,PA,C,10
55,F,SY,2021,1,0,PA,T,10
56,M,SY,2022,1,0,PA,T,10
57,F,AHY,2022,1,0,PA,T,10
58,M,ASY,2022,1,0,PA,C,10
59,M,SY,2022,1,0,PA,C,10
60,F,ASY,2022,1,0,PA,T,10
61,M,SY,2022,1,0,PA,C,10
62,F,ASY,2022,1,1,PA,T,11
63,M,ASY,2022,1,1,PA,T,11
64,M,SY,2022,1,0,PA,T,10
65,M,AHY,2022,1,0,PA,C,10
66,M,ASY,2022,1,0,PA,C,10
67,M,ASY,2022,1,0,PA,C,10
68,F,AHY,2022,1,0,PA,T,10
69,F,SY,2022,1,0,PA,T,10
70,F,SY,2022,1,0,PA,C,10
71,M,AHY,2022,1,1,PA,C,11
72,M,ASY,2022,1,0,PA,C,10
73,M,SY,2022,1,0,PA,T,10
74,F,ASY,2022,1,0,PA,T,10
75,M,ASY,2022,1,0,PA,T,10
76,F,SY,2022,1,0,PA,T,10
77,M,SY,2022,1,0,PA,T,10
78,M,ASY,2022,1,1,PA,T,11
79,F,ASY,2022,1,1,PA,T,11
80,M,SY,2022,1,0,PA,T,10
81,M,ASY,2022,1,0,PA,T,10
82,M,ASY,2022,1,0,PA,T,10
83,F,ASY,2022,1,0,PA,T,10
84,M,ASY,2022,1,1,VA,T,11
85,M,ASY,2022,1,0,VA,T,10
86,M,ASY,2022,1,0,VA,T,10
87,F,AHY,2022,1,0,VA,T,10
88,F,SY,2022,1,0,VA,T,10
89,M,ASY,2022,1,0,VA,T,10
90,F,AHY,2022,1,0,VA,T,10
91,F,AHY,2022,1,1,VA,T,11
92,M,ASY,2022,1,0,VA,T,10
93,F,ASY,2022,1,0,VA,T,10
94,F,SY,2022,1,0,VA,T,10
95,F,ASY,2022,1,0,VA,T,10
96,F,SY,2022,1,0,VA,T,10
