Bird ID,Sex,Age,2021,2022,2023,Site
2550-08778,M,ASY,1,0,0,TN
2550-08779,M,ASY,1,1,0,TN
2550-08776,M,SY,1,0,0,TN
2550-08777,M,ASY,1,0,0,TN
2550-08780,M,ASY,1,1,0,TN
1340-70938,M,5Y,1,0,0,TN
2440-76699,M,9Y,1,0,0,TN
2550-08782,M,ASY,1,1,0,TN
2550-08785,M,SY,1,0,0,TN
2550-08784,F,ASY,1,0,0,TN
2550-08783,F,ASY,1,0,0,TN
2550-08786,M,ASY,1,0,0,TN
2550-08787,M,ASY,1,0,0,TN
2830-22314,F,SY,1,0,0,TN
2830-22312,M,SY,1,1,0,TN
2830-22316,F,SY,1,0,0,TN
2830-22317,F,SY,1,0,0,TN
2830-22318,U,HY,1,0,0,TN
2830-22319,U,HY,1,0,0,TN
2830-22320,U,HY,1,0,0,TN
2830-22321,F,HY,1,1,0,TN
2830-22311,M,ASY,1,1,0,TN
2830-22325,M,SY,1,1,0,TN
2550-08794,M,SY,1,0,0,TN
2550-08797,F,SY,1,0,0,TN
2550-08798,M,ASY,1,1,0,TN
2550-08796,M,SY,1,1,0,TN
2550-08788,M,SY,1,1,1,TN
2550-08789,M,ASY,1,0,0,TN
2830-22315,M,SY,1,1,0,TN
2260-70711,M,ASY,0,1,0,TN
2260-70712,F,ASY,0,1,0,TN
2260-70713,M,SY,0,1,0,TN
2260-70714,F,ASY,0,1,0,TN
2260-70715,M,ASY,0,1,0,TN
2260-70716,F,ASY,0,1,0,TN
2260-70717,M,ASY,0,1,0,TN
2260-70718,F,ASY,0,1,0,TN
2260-70719,F,ASY,0,1,1,TN
2260-70720,F,ASY,0,1,0,TN
2260-70722,M,SY,0,1,0,TN
2260-70721,M,ASY,0,1,1,TN
2260-70723,F,ASY,0,1,0,TN
2260-70725,M,ASY,0,1,0,TN
2260-70726,M,ASY,0,1,1,TN
2260-70727,M,SY,0,1,0,TN
2260-70728,M,SY,0,1,0,TN
2260-70729,M,ASY,0,1,0,TN
2260-70730,F,ASY,0,1,0,TN
2260-70731,M,ASY,0,1,1,TN
2260-70732,M,SY,0,1,1,TN
2260-70733,M,SY,0,1,0,TN
2260--70735,M,ASY,0,1,0,TN
2260--70736,M,SY,0,1,1,TN
2260-70737,F,SY,0,1,0,TN
2770-85703,M,ASY,1,0,0,WI
2770-85705,M,SY,1,0,0,WI
2770-85706,M,ASY,1,0,0,WI
2770-85707,M,ASY,1,0,0,WI
2770-85709,M,ASY,1,0,0,WI
2770-85713,M,ASY,1,0,0,WI
2770-85717,M,ASY,1,0,0,WI
2770-85719,M,ASY,1,1,0,WI
2770-85721,M,ASY,1,1,1,WI
2770-85724,M,ASY,1,1,1,WI
2770-85726,M,ASY,1,0,0,WI
2770-85729,M,ASY,1,1,0,WI
2770-85730,M,ASY,1,1,0,WI
2770-85732,M,ASY,1,0,0,WI
2770-85733,M,ASY,1,0,0,WI
2770-85734,M,ASY,1,1,1,WI
2770-85735,M,ASY,1,0,0,WI
2770-85738,M,ASY,1,0,0,WI
2770-85739,M,ASY,1,1,1,WI
2770-85743,M,ASY,1,1,0,WI
2770-85744,M,ASY,1,0,0,WI
2770-85745,M,ASY,1,0,0,WI
2770-85746,M,ASY,1,0,0,WI
2770-85751,M,ASY,1,0,0,WI
2770-85754,M,SY,1,1,0,WI
2770-85755,M,ASY,1,0,0,WI
2770-85757,M,ASY,1,0,0,WI
2770-85772,M,SY,1,1,1,WI
2770-85773,M,ASY,1,0,0,WI
2770-85774,M,SY,1,0,0,WI
2770-85775,M,ASY,1,1,1,WI
2770-85776,M,ASY,1,0,0,WI
2770-85777,M,ASY,1,0,0,WI
2770-85778,M,ASY,1,0,0,WI
2770-857??,M,ASY,1,1,0,WI
2770-85701,F,ASY,1,0,0,WI
2770-85702,M,ASY,1,0,0,WI
2770-85704,F,SY,1,0,0,WI
2770-85708,F,ASY,1,0,0,WI
2770-85710,M,ASY,1,0,0,WI
2770-85711,M,ASY,1,0,0,WI
2770-85714,M,ASY,1,1,0,WI
2770-85715,M,SY,1,0,0,WI
2770-85716,F,ASY,1,1,0,WI
2770-85718,F,ASY,1,0,0,WI
2770-85722,F,ASY,1,0,0,WI
2770-85723,M,ASY,1,1,0,WI
2770-85725,M,ASY,1,0,0,WI
2770-85727,F,ASY,1,0,0,WI
2770-85728,F,ASY,1,0,0,WI
2770-85731,F,ASY,1,0,0,WI
2770-85736,F,ASY,1,0,0,WI
2770-85741,F,ASY,1,0,0,WI
2770-85742,M,ASY,1,0,0,WI
2770-85747,F,ASY,1,0,0,WI
2770-85748,F,ASY,1,0,0,WI
2770-85749,F,ASY,1,0,0,WI
2770-85750,F,SY,1,0,0,WI
2770-85752,F,ASY,1,1,0,WI
2770-85753,F,ASY,1,0,0,WI
2770-85756,F,ASY,1,0,0,WI
2770-85762,F,ASY,1,0,0,WI
2770-85767,F,ASY,1,0,0,WI
2770-93893,M,ASY,1,1,0,WI
2770-93895,M,ASY,1,0,0,WI
2770-93896,M,ASY,1,1,0,WI
2770-93897,M,ASY,1,0,0,WI
2770-93898,M,ASY,1,0,0,WI
