Bird ID,2021,2022,2023,Tag Binary,Site,Age
1,1,1,1,1,TN,ASY
2,1,0,0,1,TN,ASY
3,1,1,1,1,TN,SY
4,1,1,1,1,TN,ASY
5,1,0,0,1,TN,ASY
6,1,1,1,1,TN,5Y
7,1,1,1,1,TN,9Y
8,0,0,0,0,TN,ASY
9,1,1,1,1,TN,SY
10,1,1,1,1,TN,ASY
11,1,1,1,1,TN,ASY
12,1,1,1,1,TN,ASY
13,1,1,1,1,TN,ASY
14,1,1,1,1,TN,SY
15,1,0,0,1,TN,SY
16,1,1,1,1,TN,SY
17,1,1,1,1,TN,SY
18,0,0,0,0,TN,HY
19,0,0,0,0,TN,HY
20,0,0,0,0,TN,HY
21,0,0,0,0,TN,HY
22,1,0,0,1,TN,ASY
23,1,1,1,1,TN,SY
24,1,1,1,1,TN,SY
25,1,1,1,1,TN,SY
26,1,0,0,1,TN,ASY
27,1,0,0,1,TN,SY
28,1,0,0,1,TN,SY
29,1,1,1,1,TN,ASY
30,0,0,0,0,TN,SY
31,0,1,1,1,TN,ASY
32,0,1,1,1,TN,ASY
33,0,1,1,1,TN,SY
34,0,0,0,0,TN,ASY
35,0,1,1,1,TN,ASY
36,0,0,0,0,TN,ASY
37,0,1,1,1,TN,ASY
38,0,1,1,1,TN,ASY
39,0,1,1,1,TN,ASY
40,0,1,1,1,TN,ASY
41,0,1,1,1,TN,SY
42,0,1,1,1,TN,ASY
43,0,1,1,1,TN,ASY
44,0,1,1,1,TN,ASY
45,0,1,1,1,TN,ASY
46,0,1,1,1,TN,SY
47,0,1,1,1,TN,SY
48,0,1,1,1,TN,ASY
49,0,1,1,1,TN,ASY
50,0,1,1,1,TN,ASY
51,0,1,1,1,TN,SY
52,0,1,1,1,TN,SY
55,0,0,0,0,TN,SY
56,0,0,0,0,WI,ASY
57,0,0,0,0,WI,SY
58,0,0,0,0,WI,ASY
59,0,0,0,0,WI,ASY
60,0,0,0,0,WI,ASY
